Respondent_ID,Country,AI_Integration_Maturity_Score,Governance_Practice_Rating,Project_KPI_Improvement,Industry_Sector,Survey_Year
173,UK,6,1,-18.55,Manufacturing,2023
174,India,9,4,7.63,Construction,2020
175,UK,5,3,-1.2,Manufacturing,2022
176,UK,4,2,46.05,Manufacturing,2022
177,UK,2,1,-12.66,Software,2022
178,China,6,3,-2.03,Energy,2023
179,Germany,9,4,17.75,Software,2022
180,UK,5,4,-0.3,Energy,2020
181,Germany,6,2,19.36,Manufacturing,2023
182,USA,9,2,20.45,Construction,2021
183,UK,9,2,5.54,Manufacturing,2023
184,China,5,3,2.93,Construction,2020
185,UK,2,3,-4.13,Software,2021
186,Germany,2,4,-11.7,Energy,2021
187,China,4,1,46.97,Manufacturing,2021
188,India,2,3,26.55,Construction,2020
189,China,2,2,-8.2,Construction,2023
190,Germany,2,2,26.33,Energy,2023
191,USA,4,3,-1.39,Software,2020
192,China,3,2,-2.19,Manufacturing,2021
193,Germany,8,2,35.75,Energy,2021
194,UK,4,3,45.14,Energy,2021
195,USA,3,1,-12.58,Manufacturing,2021
196,China,2,2,8.01,Manufacturing,2022
197,China,6,3,22.62,Energy,2021
198,USA,9,2,39.16,Energy,2023
199,UK,8,1,35.07,Energy,2020
200,UK,2,3,-16.92,Construction,2020
